study,loc,sta,date,source,species,sampType,lat,lon,coords_origOrEst,depth_m,year,samp,delta14C,delta14C_sd,delta14C_se,F14C,F14C_sd,14Cage,14Cage_sd,pMC,pMC_sd,dataSource,Comments,ind,F14C_calc,F14C_calc_sd,C14age_calc,C14age_sd_calc,year_bp,delta14C_calc,decade,w_i,w_i_calc
Druffel 1982,Florida,The Rocks,"",coral,Montastrea annularis,core,24.95,-80.55,orig,4,1908,TRII-4930,-48,4,,,,,,,,"","",60,0.938848669975778,,,,115,,1900s,,
Druffel 1982,Florida,The Rocks,"",coral,Montastrea annularis,core,24.95,-80.55,orig,4,1921,TRII-4925,-50,4,,,,,,,,"","",61,0.938350711915568,,,,102,,1920s,,
Druffel 1982,Florida,The Rocks,"",coral,Montastrea annularis,core,24.95,-80.55,orig,4,1924,TRII-4927,-53,5,,,,,,,,"","",62,0.935727002191927,,,,99,,1920s,,
Druffel 1982,Florida,The Rocks,"",coral,Montastrea annularis,core,24.95,-80.55,orig,4,1931,TRII-4924,-49,3,,,,,,,,"","",63,0.94047538769987,,,,92,,1930s,,
Druffel 1982,Florida,The Rocks,"",coral,Montastrea annularis,core,24.95,-80.55,orig,4,1934,TRII-4926,-54,3,,,,,,,,"","",64,0.935870277183654,,,,89,,1930s,,
Druffel & Linick 1978,Florida,The Rocks,"",coral,Montastrea annularis,core,24.95,-80.55,orig,4,1951,TR1_2,-65,,,,,,,,,"Druffel 1989, Table 3","",65,0.926892138225165,,,,72,,1950s,,
Druffel & Linick 1978,Florida,The Rocks,"",coral,Montastrea annularis,core,24.95,-80.55,orig,4,1952,TR1_2,-66,,,,,,,,,"Druffel 1989, Table 3","",66,0.926012816123351,,,,71,,1950s,,
Druffel & Linick 1978,Florida,The Rocks,"",coral,Montastrea annularis,core,24.95,-80.55,orig,4,1953,TR1_2,-58,,,,,,,,,"Druffel 1989, Table 3","",67,0.934057382836734,,,,70,,1950s,,
Druffel & Linick 1978,Florida,The Rocks,"",coral,Montastrea annularis,core,24.95,-80.55,orig,4,1954,TR1_2,-55,,,,,,,,,"Druffel 1989, Table 3","",68,0.937145440818611,,,,69,,1950s,,
Druffel & Linick 1978,Florida,The Rocks,"",coral,Montastrea annularis,core,24.95,-80.55,orig,4,1955,TR1_2,-60,,,,,,,,,"Druffel 1989, Table 3","",69,0.932299766162556,,,,68,,1950s,,
Druffel 1989,Florida,The Rocks,"",coral,"",core,24.95,-80.55,orig,4,1956,TR3,-54.4,,,,,,,,,"Druffel 1989, Table 3","",70,0.937967344783896,,,,67,,1950s,,
Druffel & Linick 1978,Florida,The Rocks,"",coral,Montastrea annularis,core,24.95,-80.55,orig,4,1957,TR1_2,-54,,,,,,,,,"Druffel 1989, Table 3","",71,0.938477630157024,,,,66,,1950s,,
