Sample_ID,Locality,Station,IGSN,Depth,Cat_No,UCIAMS_ID,NAU_ID,Analysis_Type,Calibration_Op,Calibration_Type
UF512435-1,NA; nearest is Lone Cabbage,NA,NA,NA,UF512435-1,225860,UAL19520,HP,R_F14C,likelihood
UF512435-2,NA; nearest is Lone Cabbage,NA,NA,NA,UF512435-2,225861,UAL19521,HP,R_F14C,likelihood
UF15491,NA; nearest is Big Hickory,NA,NA,NA,UF15491,225862,UAL19522,HP,R_F14C,likelihood
UF15484,NA; nearest is Little St. George Island,NA,NA,NA,UF15484,225863,UAL19523,HP,R_F14C,likelihood
BH_R1H1S1_173,Big Hickory,8828,IEPRI004C,15-25cm,PRI103539,NA,UAL20468,LP,R_F14C,likelihood
BH_R1H1S1_174,Big Hickory,8828,IEPRI004C,15-25cm,PRI103540,NA,UAL20466,LP,R_F14C,likelihood
BH_R1H1S1_240,Big Hickory,8828,IEPRI004C,15-25cm,PRI103541,NA,UAL20467,LP,R_F14C,likelihood
BH_R1H1S1_246,Big Hickory,8828,IEPRI004C,15-25cm,PRI103542,NA,UAL20469,LP,R_F14C,likelihood
BH_R1H1S2_205,Big Hickory,8828,IEPRI004D,25-35cm,PRI103543,NA,UAL20476,LP,R_F14C,likelihood
BH_R1H1S2_238,Big Hickory,8828,IEPRI004D,25-35cm,PRI103544,NA,UAL20474,LP,R_F14C,likelihood
BH_R1H1S2_248,Big Hickory,8828,IEPRI004D,25-35cm,PRI103545,NA,UAL20477,LP,R_F14C,likelihood
BH_R1H1S2_271,Big Hickory,8828,IEPRI004D,25-35cm,PRI103546,NA,UAL20475,LP,R_F14C,likelihood
BH_R1H1S2_284,Big Hickory,8828,IEPRI004D,25-35cm,PRI103547,NA,UAL20478,LP,R_F14C,likelihood
BH_R1H3S1_11,Big Hickory,8830,IEPRI004G,15-25cm,PRI103548,NA,UAL20472,LP,R_F14C,likelihood
BH_R1H3S1_218,Big Hickory,8830,IEPRI004G,15-25cm,PRI103549,NA,UAL20473,LP,R_F14C,likelihood
BH_R1H3S1_226,Big Hickory,8830,IEPRI004G,15-25cm,PRI103550,NA,UAL20470,LP,R_F14C,likelihood
BH_R1H3S1_332,Big Hickory,8830,IEPRI004G,15-25cm,PRI103551,NA,UAL20471,LP,R_F14C,likelihood
BH_R1H3S2_155,Big Hickory,8830,IEPRI004H,25-35cm,PRI85707,NA,UAL20985,LP,R_F14C,likelihood
BH_R1H3S2_173,Big Hickory,8830,IEPRI004H,25-35cm,PRI85708,NA,UAL20986,LP,R_F14C,likelihood
BH_R1H3S2_205,Big Hickory,8830,IEPRI004H,25-35cm,PRI85709,NA,UAL20987,LP,R_F14C,likelihood
BH_R1H3S2_212,Big Hickory,8830,IEPRI004H,25-35cm,PRI85710,NA,UAL21086,LP,R_F14C,likelihood
BH_R1H3S2_213,Big Hickory,8830,IEPRI004H,25-35cm,PRI85711,NA,UAL21087,LP,R_F14C,likelihood
BH_R1H3S2_259,Big Hickory,8830,IEPRI004H,25-35cm,PRI85712,NA,UAL21088,LP,R_F14C,likelihood
BH_R1H3S2_57,Big Hickory,8830,IEPRI004H,25-35cm,PRI85706,NA,UAL20984,LP,R_F14C,likelihood
BH_R2H1S1_155,Big Hickory,8831,IEPRI004I,15-25cm,PRI103552,NA,UAL20260,LP,R_F14C,likelihood
BH_R2H1S1_187,Big Hickory,8831,IEPRI004I,15-25cm,PRI103553,NA,UAL20261,LP,R_F14C,likelihood
BH_R2H1S1_192,Big Hickory,8831,IEPRI004I,15-25cm,PRI103554,NA,UAL20258,LP,R_F14C,likelihood
BH_R2H1S1_75,Big Hickory,8831,IEPRI004I,15-25cm,PRI103555,NA,UAL20259,LP,R_F14C,likelihood
BH_R2H2S1_174,Big Hickory,8832,IEPRI004K,15-25cm,PRI103556,NA,UAL20264,LP,R_F14C,likelihood
BH_R2H2S1_175,Big Hickory,8832,IEPRI004K,15-25cm,PRI103557,NA,UAL20262,LP,R_F14C,likelihood
BH_R2H2S1_176,Big Hickory,8832,IEPRI004K,15-25cm,PRI103558,NA,UAL20265,LP,R_F14C,likelihood
BH_R2H2S1_28,Big Hickory,8832,IEPRI004K,15-25cm,PRI103559,NA,UAL20263,LP,R_F14C,likelihood
BH_R2H2S2_114,Big Hickory,8832,IEPRI004L,25-35cm,PRI103560,NA,UAL20270,LP,R_F14C,likelihood
BH_R2H2S2_52,Big Hickory,8832,IEPRI004L,25-35cm,PRI103561,NA,UAL20273,LP,R_F14C,likelihood
BH_R2H2S2_74,Big Hickory,8832,IEPRI004L,25-35cm,PRI103562,NA,UAL20272,LP,R_F14C,likelihood
BH_R2H2S2_82,Big Hickory,8832,IEPRI004L,25-35cm,PRI103563,NA,UAL20274,LP,R_F14C,likelihood
BH_R2H2S2_88,Big Hickory,8832,IEPRI004L,25-35cm,PRI103564,NA,UAL20271,LP,R_F14C,likelihood
BH_R2H3S1_116,Big Hickory,8833,IEPRI004M,15-25cm,PRI103565,NA,UAL20266,LP,R_F14C,likelihood
BH_R2H3S1_170,Big Hickory,8833,IEPRI004M,15-25cm,PRI103566,NA,UAL20268,LP,R_F14C,likelihood
BH_R2H3S1_227,Big Hickory,8833,IEPRI004M,15-25cm,PRI103567,NA,UAL20267,LP,R_F14C,likelihood
BH_R2H3S1_288,Big Hickory,8833,IEPRI004M,15-25cm,PRI103568,NA,UAL20269,LP,R_F14C,likelihood
BH_R2H3S2_134,Big Hickory,8833,IEPRI004N,25-35cm,PRI85733,NA,UAL20988,LP,R_F14C,likelihood
BH_R2H3S2_139,Big Hickory,8833,IEPRI004N,25-35cm,PRI85732,NA,UAL20989,LP,R_F14C,likelihood
BH_R2H3S2_184,Big Hickory,8833,IEPRI004N,25-35cm,PRI85731,NA,UAL20990,LP,R_F14C,likelihood
