"sample","y","sdev"
"13631;2",1.0583,0.0052565
"13631;3",1.0735,0.005997
"13631;4",1.0596,0.0039498
"13631;5",1.0484,0.0045582
"13631;6",1.0596,0.0052631
"13631;7 ave",1.056,0.0042636
"13631;8",1.0563,0.0045923
"13631;9",1.0682,0.0059672
"13631;10",1.0642,0.0052861
"13631;12",1.0629,0.0079094
"13631;14",1.0583,0.0052565
"13631;15 ave",1.0514,0.0058733
"13631;16",1.0563,0.0052467
"13631;19",1.0576,0.0059081
"13631;20",1.0609,0.0046124
"13631;21",1.0589,0.0052598
"13631;23",1.053,0.006534
"13631;24",1.0682,0.0053059
"13631;25",1.0642,0.0079193
"13631;26",1.0715,0.0053224
"13631;28",1.0622,0.0052762
"13631;31",1.0596,0.0052631
"13631;32",1.0576,0.0059081
"13631;33",1.0589,0.0059155
"13631;34",1.0616,0.0046152
"13631;37",1.0655,0.0059524
"13631;38",1.0769,0.005349
"13631;39",1.0596,0.0059191
"13631;40",1.0589,0.0052598
"13631;41",1.0596,0.0059191
